Deutsch,Farsi,English,Beispielsatz,Beispielsatz_Farsi,Artikel,Plural
Abholung,جمع‌آوری / برداشتن,collection / pickup,Die Abholung der Pakete ist ab 14 Uhr möglich.,تحویل بسته‌ها از ساعت ۱۴ امکان‌پذیر است.,die,die Abholungen
Altstadtführung,تور شهر قدیمی,old town tour,Die Altstadtführung beginnt am Marktplatz.,تور شهر قدیمی از میدان بازار شروع می‌شود.,die,die Altstadtführungen
Bergtour,تور کوهنوردی,mountain tour,Wir machen am Wochenende eine Bergtour.,ما آخر هفته یک تور کوهنوردی می‌رویم.,die,die Bergtouren
Geschnetzelte,خوراک گوشت خرد شده,sliced meat (dish),Das Zürcher Geschnetzelte schmeckt hervorragend.,خوراک گوشت زوریخی طعم عالی دارد.,das,die Geschnetzelten
Mitbringsel,سوغاتی کوچک,souvenir / small gift,Ich habe dir ein kleines Mitbringsel aus dem Urlaub mitgebracht.,من یک سوغاتی کوچک از تعطیلات برایت آوردم.,das,die Mitbringsel
Rösti,رستی (غذای سیب‌زمینی),hash browns (Swiss dish),Rösti ist eine Schweizer Spezialität aus Kartoffeln.,رستی یک غذای مخصوص سوئیسی از سیب‌زمینی است.,das,die Röstis
Rucksack,کوله پشتی,backpack,Mein Rucksack ist sehr schwer.,کوله پشتی من خیلی سنگین است.,der,die Rucksäcke
Taschenmesser,چاقوی جیبی,pocket knife,Ein Schweizer Taschenmesser hat viele Funktionen.,یک چاقوی جیبی سوئیسی کاربردهای زیادی دارد.,das,die Taschenmesser
Uhrenmuseum,موزه ساعت,clock museum,Im Schwarzwald gibt es ein berühmtes Uhrenmuseum.,در جنگل سیاه یک موزه ساعت معروف وجود دارد.,das,die Uhrenmuseen
Wanderurlaub,تعطیلات پیاده‌روی,hiking holiday,Wir planen einen Wanderurlaub in den Alpen.,ما یک تعطیلات پیاده‌روی در آلپ برنامه‌ریزی می‌کنیم.,der,die Wanderurlaube
Arbeitsagentur,اداره کاریابی,employment agency,Die Arbeitsagentur hilft bei der Jobsuche.,اداره کاریابی در پیدا کردن شغل کمک می‌کند.,die,die Arbeitsagenturen
Brauerei,کارخانه آبجوسازی,brewery,Wir haben eine Führung durch die Brauerei gemacht.,ما یک تور در کارخانه آبجوسازی داشتیم.,die,die Brauereien
Industrieanlage,تأسیسات صنعتی,industrial plant,Die alte Industrieanlage wird jetzt als Museum genutzt.,تأسیسات صنعتی قدیمی اکنون به عنوان موزه استفاده می‌شود.,die,die Industrieanlagen
Kulturzentrum,مرکز فرهنگی,cultural center,Das Konzert findet im Kulturzentrum statt.,کنسرت در مرکز فرهنگی برگزار می‌شود.,das,die Kulturzentren
Musikschule,مدرسه موسیقی,music school,Mein Sohn geht zweimal pro Woche in die Musikschule.,پسر من دو بار در هفته به مدرسه موسیقی می‌رود.,die,die Musikschulen
Stromverbrauch,مصرف برق,power consumption,Wir müssen unseren Stromverbrauch reduzieren.,ما باید مصرف برق خود را کاهش دهیم.,der,die Stromverbräuche
veranstalten,برگزار کردن,to organize / host,Der Verein veranstaltet jedes Jahr ein Sommerfest.,انجمن هر سال یک جشن تابستانی برگزار می‌کند.,-,(Verb)
bellen,پارس کردن,to bark,Der Hund des Nachbarn bellt den ganzen Tag.,سگ همسایه تمام روز پارس می‌کند.,-,(Verb)
bohren,دریل کردن / سوراخ کردن,to drill,Am Sonntag darf man im Haus nicht bohren.,روز یکشنبه اجازه دریل کردن در خانه ندارید.,-,(Verb)
mähen,چمن زدن,to mow,Ich muss heute den Rasen mähen.,من باید امروز چمن را بزنم.,-,(Verb)
Rasen,چمن,lawn,Bitte betreten Sie den Rasen nicht.,لطفاً پا روی چمن نگذارید.,der,-
saugen,جاروبرقی کشیدن,to vacuum,Kannst du bitte das Wohnzimmer saugen?,می‌توانی لطفاً اتاق نشیمن را جاروبرقی بکشی؟,-,(Verb)
Staub,گرد و غبار,dust,Auf dem Regal liegt viel Staub.,روی قفسه گرد و غبار زیادی نشسته است.,der,-
Mülltonne,سطل زباله (بزرگ),dustbin / trash can,Die Mülltonne wird morgen geleert.,سطل زباله فردا خالی می‌شود.,die,die Mülltonnen
Beschwerde,شکایت,complaint,Wir haben eine Beschwerde über den Lärm erhalten.,ما شکایتی در مورد سر و صدا دریافت کردیم.,die,die Beschwerden
Hausregel,قانون ساختمان,house rule,In den Hausregeln steht, dass ab 22 Uhr Ruhe sein muss.,در قوانین ساختمان آمده است که از ساعت ۲۲ باید سکوت باشد.,die,die Hausregeln
Bart,ریش,beard,Er trägt jetzt einen Bart.,او الان ریش می‌گذارد.,der,die Bärte
