"Deutsch","Farsi","English","Beispielsatz","Beispielsatz_Farsi","Status","Präposition","Artikel","Plural","Perfekt","Präteritum"
"abhängen","وابسته بودن","to depend","Mein Erfolg hängt von harter Arbeit ab.","موفقیت من به کار سخت وابسته است.","Neutral","von + D","-","-","hat abgehangen","hing ab"
"ablaufen","منقضی شدن","to expire, to run off","Die Frist für die Bewerbung ist gestern abgelaufen.","مهلت درخواست دیروز سپری شد.","Neutral","-","-","-","ist abgelaufen","lief ab"
"abschließen","به پایان رساندن، قفل کردن","to complete, to lock","Wir müssen das Projekt bis Freitag abschließen.","ما باید پروژه را تا جمعه به پایان برسانیم.","Neutral","-","-","-","hat abgeschlossen","schloss ab"
"anbieten","پیشنهاد دادن","to offer","Ich kann Ihnen ein besseres Produkt anbieten.","من می توانم محصول بهتری به شما پیشنهاد دهم.","Neutral","-","-","-","hat angeboten","bot an"
"anerkennen","به رسمیت شناختن","to recognize","Der Staat muss diese Leistung anerkennen.","دولت باید این دستاورد را به رسمیت بشناسد.","Neutral","-","-","-","hat anerkannt","erkannte an"
"anfangen","شروع کردن","to begin","Der Kurs fängt nächsten Montag an.","کلاس دوشنبه آینده شروع می شود.","Neutral","-","-","-","hat angefangen","fing an"
"angeben","اظهار کردن، ادعا کردن","to state, to brag","Bitte geben Sie Ihre Telefonnummer an.","لطفاً شماره تلفن خود را اظهار کنید.","Neutral","-","-","-","hat angegeben","gab an"
"ankommen","رسیدن، مهم بودن","to arrive, to matter","Es kommt darauf an, wie viel Zeit wir haben.","مهم است که چقدر زمان داریم.","Neutral","auf + A","-","-","ist angekommen","kam an"
"annehmen","پذیرفتن، فرض کردن","to accept, to assume","Ich nehme an, dass du morgen kommst.","من فرض می کنم که فردا می آیی.","Neutral","-","-","-","hat angenommen","nahm an"
"ansprechen","صحبت کردن با کسی، اشاره کردن","to address, to speak to","Er hat mich auf der Straße angesprochen.","او در خیابان با من صحبت کرد.","Neutral","-","-","-","hat angesprochen","sprach an"
"auffallen","جلب توجه کردن","to stand out, to be noticed","Die Fehler sind mir beim Korrekturlesen nicht aufgefallen.","اشتباهات هنگام تصحیح به چشم من نیامدند.","Neutral","-","-","-","ist aufgefallen","fiel auf"
"aufgeben","تسلیم شدن، پست کردن","to give up, to post (mail)","Er hat den Kampf nach der Niederlage aufgegeben.","او پس از شکست دست از مبارزه کشید.","Neutral","-","-","-","hat aufgegeben","gab auf"
"auftreten","ظاهر شدن، اجرا کردن","to perform, to occur","Ein unerwartetes Problem ist gestern aufgetreten.","یک مشکل غیرمنتظره دیروز رخ داد.","Neutral","-","-","-","ist aufgetreten","trat auf"
"aufziehen","بزرگ کردن، بالا کشیدن (پرده)","to raise, to pull up","Ein Sturm zieht schnell auf.","یک طوفان به سرعت نزدیک می‌شود (بالا می‌آید).","Neutral","-","-","-","ist aufgezogen","zog auf"
"aufziehen","بالا کشیدن، großziehen","to raise (a child)","Die Großmutter hat das Kind aufgezogen.","مادربزرگ بچه را تربیت کرده است.","Neutral","","","","aufgezogen","zog auf"
"ausbrechen","فرار کردن، فوران کردن","to escape, to break out","Der Gefangene ist letzte Nacht aus dem Gefängnis ausgebrochen.","زندانی دیشب از زندان فرار کرد.","Neutral","aus + D","","","ausgebrochen","brach aus"
"auseinanderbrechen","شکستن، خرد شدن","to break apart","Der Ast ist unter der Last des Schnees auseinandergebrochen.","شاخه زیر بار برف شکست.","Neutral","","","","auseinandergebrochen","brach auseinander"
"sich auskennen","وارد بودن، آگاه بودن","to know one's way around","Er kennt sich in dieser Stadt gut aus.","او در این شهر به خوبی وارد است.","Neutral","in + D","","","ausgekannt","kannte sich aus"
