"Deutsch","Farsi","English","Beispielsatz","Beispielsatz_Farsi","Status","Präposition","Artikel","Plural","Perfekt", "Präteritum", "Erläuterung"
"sich in Acht nehmen vor (+ Dat.)","مواظب بودن / بر حذر بودن از","to be on one's guard / watch out for","Im Straßenverkehr sollte man sich immer gut in Acht nehmen.","در ترافیک جاده‌ای همیشه باید به خوبی مراقب بود.","Neutral","vor + D","die","–","hat sich in Acht genommen","nahm sich in Acht","aufpassen, vorsichtig sein"
"Abschied nehmen von (+ Dat.)","خداحافظی کردن از","to say goodbye to","Am späten Abend haben wir Abschied von den Gästen genommen.","اواخر شب با مهمانان خداحافظی کردیم.","Neutral","von + D","der","Abschiede","hat Abschied genommen","nahm Abschied","sich verabschieden"
"zum Abschluss kommen","به پایان رسیدن / نهایی شدن","to come to an end / be concluded","Die Verträge sind zum Abschluss gekommen.","قراردادها به مرحله نهایی رسیدند.","Neutral","zu + D","der","Abschlüsse","ist zum Abschluss gekommen","kam zum Abschluss","etwas beenden / fertigstellen /abschießen"
"die Absicht haben","قصد داشتن","to have the intention","Ich habe die Absicht, bald die Prüfung zu machen.","من قصد دارم به زودی در امتحان شرکت کنم.","Neutral","–","die","Absichten","hat die Absicht gehabt","hatte die Absicht","beabsichtigen"
"Ahnung haben von (+ Dat.)","اطلاع داشتن از / سر در آوردن از","to have an idea about / a clue","Ich habe davon keine Ahnung.","من هیچ اطلاعی از آن ندارم.","Neutral","von + D","die","Ahnungen","hat Ahnung gehabt","hatte Ahnung","wissen / sich auskennen"
"eine Änderung vornehmen an (+ Dat.)","تغییر ایجاد کردن در","to make a change to","Jeder kann Änderungen an seinem Passwort selbst vornehmen.","هر کسی می‌تواند خودش تغییراتی در رمز عبور خود ایجاد کند.","Neutral","an + D","die","Änderungen","hat eine Änderung vorgenommen","nahm eine Änderung vor","ändern"
"Anerkennung finden / erfahren","مورد تایید/قدردانی قرار گرفتن","to find/gain recognition","Hier erfahren die Kinder Anerkennung.","اینجا بچه‌ها مورد قدردانی قرار می‌گیرند.","Neutral","–","die","–","hat Anerkennung gefunden / erfahren","fand / erfuhr Anerkennung","anerkannt werden"
"den Anfang machen","شروع کردن","to make a start","Wollen Sie den Anfang machen?","آیا می‌خواهید شما شروع کنید؟","Neutral","–","der","Anfänge","hat den Anfang gemacht","machte den Anfang","anfangen"
"ein Angebot machen / unterbreiten","پیشنهاد دادن","to make/submit an offer","Die Firma hat mir ein tolles Angebot gemacht.","شرکت به من یک پیشنهاد عالی داد.","Neutral","–","das","Angebote","hat ein Angebot gemacht / unterbreitet","machte / unterbreitete ein Angebot","etw. anbieten"
"Angst haben vor (+ Dat.)","ترسیدن از","to be afraid of","Ich habe Angst davor, zu spät zu kommen.","من از دیر رسیدن می‌ترسم.","Neutral","vor + D","die","Ängste","hat Angst gehabt","hatte Angst","sich ängstigen vor"
"Anspruch haben auf (+ Akk.)","حق داشتن به چیزی / استحقاق داشتن","to be entitled to / have a claim to","Sie haben einen rechtlichen Anspruch auf Unterstützung.","شما حق قانونی برای برخورداری از حمایت دارید.","Neutral","auf + Akk.","der","Ansprüche","hat Anspruch gehabt","hatte Anspruch","etw. steht jdn. zu"
"in Anspruch nehmen","استفاده کردن / بهره‌مند شدن","to make use of / to claim","Das hat alles sehr viel Zeit in Anspruch genommen.","همه این‌ها زمان بسیار زیادی برد.","Neutral","keine","der","Ansprüche","hat in Anspruch genommen","nahm in Anspruch","(be)nutzen, beanspruchen"
"Anteil nehmen","همدردی کردن","to sympathize / show concern","Ich nehme Anteil an dem Schicksal der betroffenen Leute.","من با سرنوشت افراد آسیب‌دیده همدردی می‌کنم.","Neutral","an + Dat.","der","Anteile","hat Anteil genommen","nahm Anteil","mitfühlen"
"einen Antrag stellen auf (+ Akk.)","درخواست دادن برای","to apply for / submit an application","Familie Müller hat einen Antrag auf finanzielle Unterstützung gestellt.","خانواده مولر درخواستی برای حمایت مالی ارائه کرده‌اند.","Neutral","auf + Akk.","der","Anträge","hat einen Antrag gestellt","stellte einen Antrag","beantragen"
"eine Antwort geben auf (+ Akk.)","پاسخ دادن به","to give an answer to","Bisher hat er mir noch keine Antwort auf meine Frage gegeben.","او تا به حال پاسخی به سوال من نداده است.","Neutral","auf + Akk.","die","Antworten","hat eine Antwort gegeben","gab eine Antwort","antworten"
"einen Auftrag erteilen","سفارش دادن / ماموریت دادن","to place an order / assign a task","Hat die Firma den Auftrag schon erteilt?","آیا شرکت سفارش را قبلاً داده است؟","Neutral","keine","der","Aufträge","hat einen Auftrag erteilt","erteilte einen Auftrag","beauftragen"
"etw. in Auftrag geben","سفارش دادن چیزی (برای ساخت یا انجام)","to commission something","Hat die Firma die Maschine schon in Auftrag gegeben?","آیا شرکت قبلاً سفارش ساخت دستگاه را داده است؟","Neutral","keine","der","Aufträge","hat in Auftrag gegeben","gab in Auftrag","etw. beauftragen"
"zum Ausdruck bringen","بیان کردن / ابراز کردن","to express / put into words","Er brachte seinen Ärger zum Ausdruck.","او خشم خود را ابراز کرد.","Neutral","keine","der","Ausdrücke","hat zum Ausdruck gebracht","brachte zum Ausdruck","etw. äußern, ausdrücken"
"in Aussicht stellen","وعده دادن / احتمال چیزی را دادن","to promise / hold out the prospect of","Mir wurden gute Aufstiegsmöglichkeiten in Aussicht gestellt.","به من امکانات خوبی برای پیشرفت شغلی وعده داده شد.","Neutral","keine","die","Aussichten","hat in Aussicht gestellt","stellte in Aussicht","etwas als wahrscheinlich darstellen / etwas Positives andeuten"
"im Austausch stehen mit (+ Dat.)","در تبادل بودن با","to be in exchange with","Wir stehen auch im Austausch mit anderen Gruppen.","ما همچنین با گروه‌های دیگر در تبادل هستیم.","Neutral","mit + Dat.","der","Austausche","hat im Austausch gestanden","stand im Austausch","sich austauschen"
"Deutsch","Farsi","English","Beispielsatz","Beispielsatz_Farsi","Status","Präposition","Artikel","Plural","Perfekt","Präteritum","Erläuterung"
"zur Auswahl stehen","برای انتخاب موجود بودن","to be available for selection","Es stehen viele Produkte zur Auswahl.","محصولات زیادی برای انتخاب وجود دارند.","Neutral","zu + D","die","Auswahlen","hat zur Auswahl gestanden","stand zur Auswahl","angeboten werden"
"Beachtung finden","مورد توجه قرار گرفتن","to receive attention","Erneuerbare Energieformen finden momentan große Beachtung.","اشکال انرژی‌های تجدیدپذیر در حال حاضر مورد توجه زیادی قرار گرفته‌اند.","Neutral","-","die","-","hat Beachtung gefunden","fand Beachtung","beachtet werden"
"einen Beitrag leisten","سهمی داشتن / مشارکت کردن","to make a contribution","Jeder kann einen Beitrag zur Verbesserung der Situation leisten.","هر کسی می‌تواند سهمی در بهبود وضعیت داشته باشد.","Neutral","zu + D","der","Beiträge","hat einen Beitrag geleistet","leistete einen Beitrag","etw. beitragen"
"einen Beruf ausüben","به شغلی مشغول بودن / کار کردن","to practice a profession","Sie übt ihren Beruf schon seit über 20 Jahren aus.","او بیش از ۲۰ سال است که به شغل خود مشغول است.","Neutral","-","der","Berufe","hat einen Beruf ausgeübt","übte einen Beruf aus","arbeiten (als)"
"Bescheid geben / sagen","خبر دادن / اطلاع دادن","to let someone know","Können Sie mir bitte Bescheid geben / sagen, wenn Herr Marx da ist?","می‌توانید لطفاً وقتی آقای مارکس آمد به من خبر بدهید؟","Neutral","-","der","Bescheide","hat Bescheid gegeben / gesagt","gab / sagte Bescheid","jdn. informieren"
"Bescheid wissen über (+ Akk.)","در مورد چیزی اطلاع داشتن","to be informed about","Wer weiß denn über dieses Projekt Bescheid?","چه کسی در مورد این پروژه اطلاع دارد؟","Neutral","über + A","der","Bescheide","hat Bescheid gewusst","wusste Bescheid","informiert sein"
"eine Bestellung aufgeben","سفارش دادن","to place an order","Hat der Kunde die Bestellung schon aufgegeben?","آیا مشتری قبلاً سفارش را ثبت کرده است؟","Neutral","-","die","Bestellungen","hat eine Bestellung aufgegeben","gab eine Bestellung auf","etw. bestellen"
"in Betracht kommen","مورد بررسی قرار گرفتن / ممکن بودن","to be considered / to be possible","Zur Lösung des Problems kommen mehrere Möglichkeiten in Betracht.","برای حل مشکل، چندین گزینه مورد بررسی قرار می‌گیرند.","Neutral","in + A","der","-","ist in Betracht gekommen","kam in Betracht","möglich sein"
"in Betracht ziehen","مد نظر قرار دادن / در نظر گرفتن","to consider / to take into account","Viele Leute ziehen in Betracht, wegen einer Arbeitsstelle umzuziehen.","بسیاری از مردم در نظر دارند که به خاطر یک موقعیت شغلی نقل مکان کنند.","Neutral","in + A","der","-","hat in Betracht gezogen","zog in Betracht","überlegen"
"Bezug nehmen auf (+ Akk.)","اشاره کردن به / استناد کردن به","to refer to","Ich nehme Bezug auf Ihr Schreiben vom 3. Januar.","من به نامه شما در تاریخ ۳ ژانویه استناد می‌کنم.","Neutral","auf + A","der","Bezüge","hat Bezug genommen","nahm Bezug","sich beziehen auf"
"Deutsch","Farsi","English","Beispielsatz","Beispielsatz_Farsi","Status","Präposition","Artikel","Plural","Perfekt","Präteritum","Erläuterung"
"eine Bindung aufbauen zu (+ Dat.)","ایجاد رابطه کردن / پیوند برقرار کردن","to build a bond / connection","So können wir eine Bindung zu unserem Gegenüber aufbauen.","به این ترتیب می‌توانیم با طرف مقابل خود رابطه برقرار کنیم.","Neutral","zu + D","die","Bindungen","hat aufgebaut","baute auf","sich besser kennenlernen"
"eine Diskussion führen","بحث کردن / گفتگو کردن","to lead a discussion","Wir haben gestern eine lebhafte Diskussion zum Thema Freizeitaktivitäten geführt.","ما دیروز بحث پرشوری در مورد موضوع فعالیت‌های اوقات فراغت داشتیم.","Neutral","-","die","Diskussionen","hat geführt","führte","diskutieren"
"zur Diskussion stehen","مورد بحث بودن / مطرح بودن","to be under discussion / to be open to debate","Verschiedene Lösungen stehen zur Diskussion.","راه‌حل‌های مختلفی برای بحث (روی میز) وجود دارد.","Neutral","zu + D","die","Diskussionen","hat gestanden","stand","diskutiert werden"
"unter Druck stehen","تحت فشار بودن","to be under pressure","Einige Studentinnen und Studenten stehen unter großem Druck.","برخی از دانشجویان تحت فشار زیادی هستند.","Neutral","unter + D","der","Drücke","hat gestanden","stand","gestresst sein"
"Effekt haben auf (+ Akk.)","اثر داشتن بر","to have an effect on","Das Projekt hatte positive Effekte auf die beteiligten Personen.","این پروژه اثرات مثبتی بر افراد شرکت‌کننده داشت.","Neutral","auf + A","der","Effekte","hat gehabt","hatte","beeinflussen"
"Eindruck machen auf (+ Akk.)","تأثیر گذاشتن بر / تحت تأثیر قرار دادن","to make an impression on","Das Engagement vieler Leute macht auf mich großen Eindruck.","تلاش و تعهد بسیاری از مردم تأثیر زیادی روی من می‌گذارد.","Neutral","auf + A","der","Eindrücke","hat gemacht","machte","beeindrucken"
"Einfluss haben auf (+ Akk.)","نفوذ داشتن / تأثیر داشتن بر","to have influence on","Manchmal werden Entscheidungen getroffen, auf die ich keinen Einfluss habe.","گاهی تصمیماتی گرفته می‌شود که من هیچ نفوذی روی آن‌ها ندارم.","Neutral","auf + A","der","Einflüsse","hat gehabt","hatte","beeinflussen"
"zum Einsatz kommen","به کار گرفته شدن / مورد استفاده قرار گرفتن","to be used / to come into use","In der realen Kommunikation kommt alles zum Einsatz, was man gelernt hat.","در ارتباطات واقعی، هر آنچه آموخته شده است به کار گرفته می‌شود.","Neutral","zu + D","der","Einsätze","ist gekommen","kam","genutzt / verwendet werden"
"zu Ende bringen / führen","به پایان رساندن","to bring to an end / to finish","Wir müssen die Arbeit heute noch zu Ende bringen.","ما باید کار را امروز به پایان برسانیم.","Neutral","zu + D","das","Enden","hat gebracht / hat geführt","brachte / führte","beenden / abschließen"
"einen Entschluss fassen","تصمیم گرفتن","to make a decision","In dieser Zeit habe ich den Entschluss gefasst, Künstler zu werden.","در این مدت من تصمیم گرفتم که هنرمند شوم.","Neutral","-","der","Entschlüsse","hat gefasst","fasste","beschließen, sich entschließen"
"Deutsch","Farsi","English","Beispielsatz","Beispielsatz_Farsi","Status","Präposition","Artikel","Plural","Perfekt", "Präteritum", "Erläuterung"
"eine Entscheidung treffen","تصمیم گرفتن","to make a decision","Er hat die Entscheidung getroffen, Künstler zu werden.","او تصمیم گرفت که هنرمند شود.","Neutral","","die","Entscheidungen","hat eine Entscheidung getroffen","traf eine Entscheidung","etw. entscheiden"
"in Erfüllung gehen","برآورده شدن","to come true","Mein Traum ist in Erfüllung gegangen.","رویای من برآورده شد.","Neutral","in + D","die","Erfüllungen","ist in Erfüllung gegangen","ging in Erfüllung","sich erfüllen / Realität werden"
"eine Erklärung haben für (+ Akk.)","توضیحی داشتن برای","to have an explanation for","Haben Sie dafür eine Erklärung?","آیا توضیحی برای این دارید؟","Neutral","für + A","die","Erklärungen","hat eine Erklärung gehabt","hatte eine Erklärung","etwas erklären können"
"die Erlaubnis erteilen","اجازه دادن","to grant permission","Ich habe ihm die Erlaubnis erteilt, das Gerät zu kaufen.","من به او اجازه دادم که دستگاه را بخرد.","Neutral","","die","Erlaubnisse","hat die Erlaubnis erteilt","erteilte die Erlaubnis","erlauben"
"einen Fehler begehen","مرتکب اشتباه شدن","to commit a mistake","Jeder von uns hat schon einen Fehler begangen.","هر یک از ما قبلاً مرتکب اشتباه شده‌ایم.","Neutral","","der","Fehler","hat einen Fehler begangen","beging einen Fehler","etw. Falsches tun"
"die Flucht ergreifen","فرار کردن","to take flight / flee","Der Dieb ergriff, so schnell er konnte, die Flucht.","دزد تا جایی که می‌توانست سریع فرار کرد.","Neutral","","die","Fluchten","hat die Flucht ergriffen","ergriff die Flucht","fliehen"
"zur Folge haben","منجر شدن به / پیامد داشتن","to result in","Dauerhafter Stress kann Erkrankungen zur Folge haben.","استرس مداوم می‌تواند منجر به بیماری شود.","Neutral","zu + D","die","Folgen","hat zur Folge gehabt","hatte zur Folge","folgen aus etw., bewirken"
"eine Forderung stellen","تقاضا کردن","to make a demand","Er stellt ganz schön viele Forderungen.","او تقاضاهای بسیار زیادی دارد.","Neutral","","die","Forderungen","hat eine Forderung gestellt","stellte eine Forderung","etw. fordern"
"in Frage kommen","مطرح بودن / مورد قبول بودن","to be an option / to be considered","Das kommt überhaupt nicht in Frage.","این اصلاً امکان ندارد (مطرح نیست).","Neutral","in + D","die","Fragen","ist in Frage gekommen","kam in Frage","relevant / akzeptabel sein"
