Deutsch,Relativpronomen,Distraktoren,Satz_Korrekt,Satz_Falsch,Farsi,Hinweis
"Das ist der Mann, ___ ich gestern im Park gesehen habe.","den","der, dem, dessen","Das ist der Mann, den ich gestern im Park gesehen habe.","Das ist der Mann, den ich habe gestern im Park gesehen.","این مردی است که دیروز در پارک دیدم.","Akkusativ / maskulin"
"Dort steht die Frau, ___ Auto gestohlen wurde.","deren","die, der, denen","Dort steht die Frau, deren Auto gestohlen wurde.","Dort steht die Frau, die Auto wurde gestohlen.","آنجا زنی ایستاده که ماشینش دزدیده شده است.","Genitiv / feminin"
"Ich danke den Kollegen, ___ mir geholfen haben.","die","denen, der, welche","Ich danke den Kollegen, die mir geholfen haben.","Ich danke den Kollegen, die haben mir geholfen.","از همکارانی که به من کمک کردند تشکر می‌کنم.","Nominativ / plural"
"Das Haus, ___ wir wohnen, ist sehr alt.","in dem","in das, wo, darin","Das Haus, in dem wir wohnen, ist sehr alt.","Das Haus, in dem wir wohnen ist, ist sehr alt.","خانه‌ای که در آن زندگی می‌کنیم بسیار قدیمی است.","Präposition + Dativ / neutrum"
"Der Erfolg, ___ er so hart gearbeitet hat, kam endlich.","für den","für die, an den, für dem","Der Erfolg, für den er so hart gearbeitet hat, kam endlich.","Der Erfolg, für den er hat so hart gearbeitet, kam endlich.","موفقیتی که او برایش اینقدر سخت تلاش کرد، بالاخره به دست آمد.","Präposition + Akkusativ / maskulin"
"Die Alternative, ___ wir heute sprechen, ist sinnvoll.","über die","über der, von der, die","Die Alternative, über die wir heute sprechen, ist sinnvoll.","Die Alternative, über die wir sprechen heute, ist sinnvoll.","جایگزینی که امروز درباره آن صحبت می‌کنیم، منطقی است.","Präposition + Akkusativ / feminin"
"Der Migrant, ___ ich im Kurs kennengelernt habe, kommt aus dem Iran.","den","der, dem, dessen","Der Migrant, den ich im Kurs kennengelernt habe, kommt aus dem Iran.","Der Migrant, den ich habe im Kurs kennengelernt, kommt aus dem Iran.","مهاجری که در کلاس با او آشنا شدم، اهل ایران است.","Akkusativ / maskulin"
"Das Grundgesetz, ___ wir uns halten müssen, schützt die Freiheit.","an das","an dem, für das, an den","Das Grundgesetz, an das wir uns halten müssen, schützt die Freiheit.","Das Grundgesetz, an das wir müssen uns halten, schützt die Freiheit.","قانون اساسی که باید به آن پایبند باشیم، از آزادی محافظت می‌کند.","Präposition + Akkusativ / neutrum"
"Die Arbeitssituation, ___ viele unzufrieden sind, ist schwierig.","mit der","mit die, von der, über die","Die Arbeitssituation, mit der viele unzufrieden sind, ist schwierig.","Die Arbeitssituation, mit der viele sind unzufrieden, ist schwierig.","وضعیت کاری که بسیاری از آن ناراضی هستند، دشوار است.","Präposition + Dativ / feminin"
"Das sind die Ziele, ___ wir gemeinsam arbeiten.","an denen","an die, für denen, bei denen","Das sind die Ziele, an denen wir gemeinsam arbeiten.","Das sind die Ziele, an denen wir arbeiten gemeinsam.","این‌ها اهدافی هستند که ما با هم روی آن‌ها کار می‌کنیم.","Präposition + Dativ / plural"
"Die Firma, ___ ich mich beworben habe, hat einen guten Ruf.","bei der","an die, für die, bei die","Die Firma, bei der ich mich beworben habe, hat einen guten Ruf.","Die Firma, bei der ich habe mich beworben, hat einen guten Ruf.","شرکتی که در آن درخواست کار دادم، شهرت خوبی دارد.","Präposition + Dativ / feminin"
"Der Kollege, ___ ich die E-Mail geschickt habe, ist im Urlaub.","dem","den, der, des","Der Kollege, dem ich die E-Mail geschickt habe, ist im Urlaub.","Der Kollege, dem ich habe die E-Mail geschickt, ist im Urlaub.","همکاری که fürایش ایمیل فرستادم، در مرخصی است.","Dativ / maskulin"
"Das Buch, ___ ich dir geliehen habe, ist sehr interessant.","das","die, dem, dessen","Das Buch, das ich dir geliehen habe, ist sehr interessant.","Das Buch, das ich habe dir geliehen, ist sehr interessant.","کتابی که به تو قرض دادem، بسیار جالب است.","Akkusativ / neutrum"
"Die Kinder, ___ ich die Schokolade gegeben habe, lachen.","denen","die, der, denen","Die Kinder, denen ich die Schokolade gegeben habe, lachen.","Die Kinder, denen ich habe die Schokolade gegeben, lachen.","بچه‌هایی که به آن‌ها شکلات دادم، می‌خندند.","Dativ / plural"
"Der Mann, ___ Hund weggelaufen ist, ist sehr traurig.","dessen","der, dem, den","Der Mann, dessen Hund weggelaufen ist, ist sehr traurig.","Der Mann, dessen Hund ist weggelaufen, ist sehr traurig.","مردی که سگش فرار کرده است، بسیار غمگین است.","Genitiv / maskulin"
"Das ist die Stadt, ___ ich geboren wurde.","in der","in die, wo, darin","Das ist die Stadt, in der ich geboren wurde.","Das ist die Stadt, in der ich wurde geboren.","این شهری است که من در آن متولد شدم.","Präposition + Dativ / feminin"
"Die Probleme, ___ wir uns beschäftigen, sind komplex.","mit denen","mit die, über denen, an die","Die Probleme, mit denen wir uns beschäftigen, sind komplex.","Die Probleme, mit denen wir beschäftigen uns, sind komplex.","مشکلاتی که با آن‌ها دست و پنجه نرم می‌کنیم، پیچیده هستند.","Präposition + Dativ / plural"
"Der Tisch, ___ wir gerade sitzen, ist antik.","an dem","an den, auf dem, bei dem","Der Tisch, an dem wir gerade sitzen, ist antik.","Der Tisch, an dem wir sitzen gerade, ist antik.","میزی که الان دور آن نشسته‌ایم، قدیمی است.","Präposition + Dativ / maskulin"
