Deutsch,Farsi,English,Beispielsatz,Beispielsatz_Farsi,Status,Präposition,Artikel,Plural
Arbeitssituation,وضعیت کاری,work situation,Meine Arbeitssituation hat sich verbessert.,وضعیت کاری من بهبود یافته است.,Neutral,,die,die Arbeitssituationen
Schulpraktikum,کارآموزی مدرسه,school internship,Ich mache ein Schulpraktikum im Krankenhaus.,من یک کارآموزی مدرسه در بیمارستان انجام می‌دهم.,Neutral,,das,die Schulpraktika
Werbeagentur,آژانس تبلیغاتی,advertising agency,Er arbeitet in einer Werbeagentur.,او در یک آژانس تبلیغاتی کار می‌کند.,Neutral,,die,die Werbeagenturen
Annonce,آگهی,advertisement,Ich habe die Annonce in der Zeitung gelesen.,من آگهی را در روزنامه خواندم.,Neutral,,die,die Annoncen
Anschreiben,نامه پوششی / کاورلتر,cover letter,Das Anschreiben ist wichtig für die Bewerbung.,نامه پوششی برای درخواست کار مهم است.,Neutral,,das,die Anschreiben
Arbeitsbedingung,شرایط کاری,working condition,Die Arbeitsbedingungen sind hier sehr gut.,شرایط کاری در اینجا بسیار خوب است.,Neutral,,die,die Arbeitsbedingungen
Arbeitssuche,جستجوی کار,job search,Die Arbeitssuche kann anstrengend sein.,جستجوی کار می‌تواند خسته‌کننده باشد.,Neutral,,die,-
Verlag,انتشارات,publishing house,Das Buch erschien in einem bekannten Verlag.,کتاب در یک انتشارات معروف منتشر شد.,Neutral,,der,die Verlage
Video-Präsentation,ارائه ویدیویی,video presentation,Die Video-Präsentation war sehr professionell.,ارائه ویدیویی بسیار حرفه‌ای بود.,Neutral,,die,die Video-Präsentationen
Konjunktiv-Form,شکل التزامی,subjunctive form,Wir üben heute die Konjunktiv-Form.,ما امروز شکل التزامی را تمرین می‌کنیم.,Neutral,,die,die Konjunktiv-Formen
Fußballspieler,بازیکن فوتبال,soccer player,Er ist ein berühmter Fußballspieler.,او یک بازیکن فوتبال مشهور است.,Neutral,,der,die Fußballspieler
Wirklichkeit,واقعیت,reality,In Wirklichkeit war alles ganz anders.,در واقعیت همه چیز کاملاً متفاوت بود.,Neutral,,die,-
Frühstücksraum,اتاق صبحانه,breakfast room,Das Hotel hat einen schönen Frühstücksraum.,هتل یک اتاق صبحانه زیبا دارد.,Neutral,,der,die Frühstücksräume
Geschäftsfrau,زن تاجر,businesswoman,Sie ist eine erfolgreiche Geschäftsfrau.,او یک زن تاجر موفق است.,Neutral,,die,die Geschäftsfrauen
Umlaut,حرف صدادار تغییر یافته (اوملاوت),umlaut,Das Deutsche hat drei Umlaute: ä, ö, ü.,زبان آلمانی سه اوملاوت دارد: ä, ö, ü.,Neutral,,der,die Umlaute
Stelle,شغل / جایگاه,position / job,Ich habe eine neue Stelle gefunden.,من یک شغل جدید پیدا کردم.,Neutral,,die,die Stellen
Teilzeit,پاره‌وقت,part-time,Sie arbeitet derzeit in Teilzeit.,او در حال حاضر پاره‌وقت کار می‌کند.,Neutral,,die,-
Donnerstagabend,پنجشنبه شب,Thursday evening,Am Donnerstagabend gehen wir ins Kino.,پنجشنبه شب ما به سینما می‌رویم.,Neutral,,der,die Donnerstagabende
Griff,دسته / گیره,handle / grip,Der Griff ist abgebrochen.,دسته شکسته است.,Neutral,,der,die Griffe
Mietpreis,قیمت اجاره,rental price,Der Mietpreis ist zu hoch.,قیمت اجاره خیلی بالا است.,Neutral,,der,die Mietpreise
Karrierechance,فرصت شغلی,career opportunity,Diese Firma bietet gute Karrierechancen.,این شرکت فرصت‌های شغلی خوبی ارائه می‌دهد.,Neutral,,die,die Karrierechancen
Arbeitsgruppe,گروه کاری,working group,Wir arbeiten in einer kleinen Arbeitsgruppe.,ما در یک گروه کاری کوچک کار می‌کنیم.,Neutral,,die,die Arbeitsgruppen
Ingenieurbüro,دفتر مهندسی,engineering office,Das Ingenieurbüro plant neue Brücken.,دفتر مهندسی پل‌های جدیدی طراحی می‌کند.,Neutral,,das,die Ingenieurbüros
Leitung,مدیریت / خط لوله,management / pipe,Sie hat die Leitung der Abteilung übernommen.,او مدیریت بخش را بر عهده گرفت.,Neutral,,die,die Leitungen
Maschinenbauingenieur,مهندس مکانیک,mechanical engineer,Er studiert Maschinenbau.,او مهندسی مکانیک می‌خواند.,Neutral,,der,die Maschinenbauingenieure
Diplom-Ingenieur,مهندس دیپلمه,graduate engineer,Mein Vater ist Diplom-Ingenieur.,پدرم مهندس دیپلمه است.,Neutral,,der,die Diplom-Ingenieure
EDV-Kenntnisse,دانش کامپیوتر,IT skills,Gute EDV-Kenntnisse sind erforderlich.,دانش کامپیوتر خوب مورد نیاز است.,Neutral,,die (Pl.),-
Fachrichtung,رشته تحصیلی / تخصص,discipline / specialization,Welche Fachrichtung studierst du?,چه رشته‌ای می‌خوانی؟,Neutral,,die,die Fachrichtungen
Einbürgerungswunsch,تمایل به تابعیت,desire for naturalization,Sein Einbürgerungswunsch wurde erfüllt.,تمایل او به تابعیت برآورده شد.,Neutral,,der,die Einbürgerungswünsche
Ausländer,خارجی,foreigner,Viele Ausländer leben in Berlin.,خارجی‌های زیادی در برلین زندگی می‌کنند.,Neutral,,der,die Ausländer
Ausnahme,استثنا,exception,Es gibt keine Regel ohne Ausnahme.,هیچ قانونی بدون استثنا نیست.,Neutral,,die,die Ausnahmen
Staat,دولت / کشور,state,Der Staat unterstützt Familien.,دولت از خانواده‌ها حمایت می‌کند.,Neutral,,der,die Staaten
Einbürgerungstest,آزمون تابعیت,naturalization test,Er muss den Einbürgerungstest bestehen.,او باید در آزمون تابعیت قبول شود.,Neutral,,der,die Einbürgerungstests
Nordsee,دریای شمال,North Sea,Wir fahren an die Nordsee.,ما به دریای شمال می‌رویم.,Neutral,,die,-
Antragsformular,فرم درخواست,application form,Bitte füllen Sie das Antragsformular aus.,لطفاً فرم درخواست را پر کنید.,Neutral,,das,die Antragsformulare
Reisemöglichkeit,امکان سفر,travel opportunity,Es gibt viele Reisemöglichkeiten.,امکانات سفر زیادی وجود دارد.,Neutral,,die,die Reisemöglichkeiten
Wahlrecht,حق رای,right to vote,Das Wahlrecht ist ein wichtiges Recht.,حق رای یک حق مهم است.,Neutral,,das,die Wahlrechte
Türke,ترک (ملیت),Turk,Mein Nachbar ist Türke.,همسایه من ترک است.,Neutral,,der,die Türken
Monatsabschluss,گزارش ماهانه,monthly closing,Der Buchhalter macht den Monatsabschluss.,حسابدار گزارش ماهانه را انجام می‌دهد.,Neutral,,der,die Monatsabschlüsse
Einverständniserklärung,رضایت‌نامه,declaration of consent,Wir brauchen eine unterschriebene Einverständniserklärung.,ما به یک رضایت‌نامه امضا شده نیاز داریم.,Neutral,,die,die Einverständniserklärungen
Familienbuch,شناسنامه خانوادگی,family register,Das Familienbuch liegt im Safe.,شناسنامه خانوادگی در گاوصندوق است.,Neutral,,das,die Familienbücher
Geburtsurkunde,گواهی تولد,birth certificate,Zur Anmeldung brauchen Sie die Geburtsurkunde.,برای ثبت‌نام به گواهی تولد نیاز دارید.,Neutral,,die,die Geburtsurkunden
Gesetz,قانون,law,Wir müssen uns an das Gesetz halten.,ما باید قانون را رعایت کنیم.,Neutral,,das,die Gesetze
Kopie,کپی,copy,Machen Sie bitte eine Kopie vom Pass.,لطفاً یک کپی از پاسپورت بگیرید.,Neutral,,die,die Kopien
Kriminalpolizei,پلیس جنایی,criminal investigation department,Die Kriminalpolizei ermittelt.,پلیس جنایی در حال تحقیق است.,Neutral,,die,-
Nachweis,مدرک / گواهی,proof / evidence,Bitte erbringen Sie einen Nachweis.,لطفاً مدرکی ارائه دهید.,Neutral,,der,die Nachweise
Grammatikkasten,کادر گرامر,grammar box,Lies den Grammatikkasten auf Seite 10.,کادر گرامر صفحه ۱۰ را بخوان.,Neutral,,der,die Grammatikkästen
Gesicht,صورت,face,Sie hat ein freundliches Gesicht.,او صورت مهربانی دارد.,Neutral,,das,die Gesichter
Kopierer,دستگاه کپی,copier,Der Kopierer ist kaputt.,دستگاه کپی خراب است.,Neutral,,der,die Kopierer
Einzelhandel,خرده‌فروشی,retail,Er arbeitet im Einzelhandel.,او در خرده‌فروشی کار می‌کند.,Neutral,,der,-
Kaufmann,بازرگان / فروشنده,merchant / businessman,Er macht eine Ausbildung zum Kaufmann.,او دوره کارآموزی بازرگانی می‌گذراند.,Neutral,,der,die Kaufleute
Probezeit,دوره آزمایشی,probationary period,Die Probezeit dauert sechs Monate.,دوره آزمایشی شش ماه طول می‌کشد.,Neutral,,die,die Probezeiten
Ansprache,سخنرانی,address / speech,Der Chef hielt eine kurze Ansprache.,رئیس یک سخنرانی کوتاه کرد.,Neutral,,die,die Ansprachen
einbringen,وارد کردن / مشارکت دادن,to bring in / contribute,Er bringt viele Ideen ein.,او ایده‌های زیادی را مشارکت می‌دهد.,Neutral,in + A,die (Pl.),-
Fachrichtung,رشته تخصصی,discipline / specialization,Welche Fachrichtung studierst du?,چه رشته‌ای می‌خوانی؟,Neutral,,die,die Fachrichtungen
FH (Fachhochschule),دانشگاه علمی کاربردی,university of applied sciences,Er studiert an der FH.,او در دانشگاه علمی کاربردی تحصیل می‌کند.,Neutral,,die,die FHs
französisch,فرانسوی,French,Er spricht gut Französisch.,او خوب فرانسوی صحبت می‌کند.,Neutral,,-,(Adj)
langjährig,طولانی‌مدت / باسابقه,long-standing,Er hat langjährige Erfahrung.,او تجربه طولانی‌مدت دارد.,Neutral,,-,(Adj)
Lieferant,تامین‌کننده / فروشنده,supplier,Der Lieferant kommt morgen.,تامین‌کننده فردا می‌آید.,Neutral,,der,die Lieferanten
Maschinenbau,مهندسی مکانیک,mechanical engineering,Maschinenbau ist ein schweres Studium.,مهندسی مکانیک رشته سختی است.,Neutral,,der,-
Schwerpunkt,تمرکز اصلی / نقطه ثقل,focus / emphasis,Der Schwerpunkt liegt auf Qualität.,تمرکز اصلی بر کیفیت است.,Neutral,,der,die Schwerpunkte
technisch,فنی / تکنیکی,technical,Das ist ein technisches Problem.,این یک مشکل فنی است.,Neutral,,-,(Adj)
beherrschen,مسلط بودن,to master / control,Sie beherrscht drei Sprachen.,او به سه زبان مسلط است.,Neutral,,-,(Verb)
