Deutsch,Farsi,English,Beispielsatz,Beispielsatz_Farsi,Status,Präposition,Artikel,Plural
abhängen,وابسته بودن,depend (on),Der Erfolg hängt stark von der Vorbereitung ab.,موفقیت به شدت به آمادگی بستگی دارد.,Neutral,von + D,die,die Abhängigkeiten
Allergie,آلرژی,allergy (to),Mein Kind ist allergisch gegen Nüsse.,کودک من به آجیل آلرژی دارد.,Neutral,auf / gegen + A,die,die Allergien
Alternative,جایگزین,alternative (to),Es gibt keine Alternative zu diesem Plan.,هیچ جایگزینی برای این برنامه وجود ندارد.,Neutral,zu + D,die,die Alternativen
ändern,تغییر دادن,change (in/to),Wir müssen einige Details an diesem Entwurf ändern.,ما باید برخی جزئیات این پیش نویس را تغییر دهیم.,Neutral,an + D,die,die Änderungen
anfangen,شروع کردن,start (with),Er fängt immer mit der wichtigsten Aufgabe an.,او همیشه با مهمترین وظیفه شروع می‌کند.,Neutral,mit + D / bei + D,,
Angst (die),ترس,fear (of),Viele Kinder haben Angst vor der Dunkelheit.,بسیاری از کودکان از تاریکی می‌ترسند.,Neutral,vor + D,die,die Ängste
(sich) anmelden,ثبت نام کردن,register (at/for),Wir müssen uns beim Sekretariat anmelden.,ما باید در دبیرخانه ثبت نام کنیم.,Neutral,bei + D / für + A,die,die Anmeldungen
Ansehen (das),مورد احترام بودن,respected (by),Er ist bei seinen Kollegen sehr angesehen.,او نزد همکارانش بسیار مورد احترام است.,Neutral,bei + D,das,
antworten,پاسخ دادن,answer (to),Bitte antworte schnell auf meine E-Mail.,لطفاً سریع به ایمیل من پاسخ دهید.,Neutral,auf + A,die,die Antworten
Anwesenheit,حضور,presence; present (at),Warst du gestern bei der Besprechung anwesend?,آیا دیروز در جلسه حضور داشتی؟,Neutral,bei + D,die,
arbeiten,کار کردن,work (on),Das Team arbeitet derzeit an einem neuen Projekt.,تیم در حال حاضر بر روی یک پروژه جدید کار می‌کند.,Neutral,an + D / bei + D,die,
(sich) ärgern,عصبانی شدن,be annoyed (about),Sie ärgert sich oft über den lauten Nachbarn.,او اغلب از همسایه پر سر و صدا عصبانی می‌شود.,Neutral,über + A,der,
die Aufregung,شور و هیجان,the excitement,Er regt sich immer über die Ungerechtigkeit auf.,او همیشه بابت بی‌عدالتی عصبانی می‌شود.,Neutral,über + A,die,die Aufregungen
der Ausbruch,شیوع، فوران,the outbreak,Die Epidemie ist aus der Nachbarstadt ausgebrochen.,اپیدمی از شهر همسایه شیوع پیدا کرده است.,Neutral,aus + D,der,die Ausbrüche
ausgeben,خرج کردن,to spend,Wie viel gibst du monatlich für Miete aus?,ماهانه چقدر برای اجاره خرج می‌کنی؟,Neutral,für + A,,
ausgehen,منشأ گرفتن,to proceed/assume,Der Plan geht von einer optimistischen Prognose aus.,این طرح از یک پیش‌بینی خوش‌بینانه منشأ می‌گیرد.,Neutral,von + D,,
sich ausruhen,استراحت کردن,to rest,Ich habe mich von der anstrengenden Arbeit ausgeruht.,من از کار طاقت‌فرسا استراحت کرده‌ام.,Neutral,von + D,,
sich austauschen,تبادل نظر کردن,to exchange views,Die Studenten tauschten sich mit dem Professor aus.,دانشجویان با استاد تبادل نظر کردند.,Neutral,mit + D,,
sich austauschen,تبادل نظر کردن,to exchange views,Wir tauschen uns regelmäßig über Fachthemen aus.,ما به طور منظم درباره موضوعات تخصصی تبادل نظر می‌کنیم.,Neutral,über + A,,
sich auszeichnen,متمایز بودن,to distinguish oneself,Das Produkt zeichnet sich durch seine hohe Qualität aus.,این محصول به دلیل کیفیت بالای خود متمایز است.,Neutral,durch + A,,
die Auszeichnung,جایزه، نشان,the award,Sie erhielt die Auszeichnung für ihr soziales Engagement.,او جایزه را برای تعهد اجتماعی خود دریافت کرد.,Neutral,für + A,die,die Auszeichnungen
basieren,مبتنی بودن,to be based on,Die Entscheidung basiert auf den vorliegenden Daten.,این تصمیم بر اساس داده‌های موجود است.,Neutral,auf + D,,
sich bedanken,تشکر کردن,to thank (for),Wir bedanken uns herzlich für das tolle Geschenk.,ما صمیمانه بابت هدیه عالی تشکر می‌کنیم.,Neutral,für + A,,
sich bedanken,تشکر کردن,to thank (someone),Ich möchte mich bei Ihnen für Ihre Mühe bedanken.,من می‌خواهم از شما به خاطر زحمت‌تان تشکر کنم.,Neutral,bei + D,,
sich befassen,پرداختن به,to deal with,Wir befassen uns heute mit einem schwierigen Thema.,ما امروز به یک موضوع دشوار می‌پردازیم.,Neutral,mit + D,,
